s/n,subject,level,question,students_response,recipe,suggested_answer,rubrics,error_tags,,,,,,,
25,English,Primary 6, ,, , , ,"Adjective - Incorrect or inappropriate use of adjectives, such as using the wrong form (comparative, superlative): Incorrect: ""She is more prettier than her sister."" Correct: ""She is prettier than her sister."",

Adverb - Incorrect use of adverbs, such as using an adjective instead of an adverb: Incorrect: ""He runs quick."" Correct: ""He runs quickly."",

Capitalisation/ case - Incorrect use of uppercase and lowercase letters, especially for proper nouns and sentence beginnings: Incorrect: ""i went to paris last summer."" Correct: ""I went to Paris last summer."",

Collocation - Incorrect pairing of words that do not naturally go together in English: Incorrect: ""She made a big effort."" Correct: ""She made a great effort."",

Conjunction - Incorrect use or omission of conjunctions to link sentences or clauses. Incorrect: ""Although it was cold outside, but I still went for a walk."" Correct: ""Although it was cold outside, I still went for a walk."",

Contraction - Incorrect use or omission of contractions, leading to confusion: Incorrect: ""Its raining today."" Correct: ""It’s raining today."",

Determiner - Incorrect use or omission of determiners, such as articles, quantifiers and possessive determiners (e.g., a, an, the, much, many, my, your). Incorrect: ""I love the nature."" Correct: ""I love nature."",

Noun - Incorrect noun forms, including pluralisation or uncountable nouns: Incorrect: ""I have many homeworks."" Correct: ""I have a lot of homework."",

Other - Miscellaneous errors that don’t fit other categories: Incorrect: ""I enjoy to the fullest life."" Correct: ""I enjoy life to the fullest."",

Particle - Incorrect use of particles, especially in phrasal verbs. Incorrect: ""Please fill the form before leaving."" Correct: ""Please fill out the form before leaving."",

Possessive - Incorrect use of possessive forms (’s or s’). Incorrect: ""The dog wagged it's tail."" Correct: ""The dog wagged its tail."",

Preposition - Incorrect or missing prepositions, leading to grammatical errors: Incorrect: ""She is good in math."" Correct: ""She is good at math."",

Pronoun - Incorrect pronoun usage, including unclear references or agreement issues. Incorrect: ""Each student must bring their book."" Correct: ""Each student must bring his or her book."",

Punctuation - Incorrect or missing punctuation marks that change the meaning. Incorrect: ""Let’s eat Grandma."" Correct: ""Let’s eat, Grandma."",

Sentence - Errors related to sentence structure, such as fragments or run-ons: Incorrect: ""When I arrived. I saw him."" Correct: ""When I arrived, I saw him."",

Space - Missing or extra spaces between words or punctuation: Incorrect: ""I went tothe park."" Correct: ""I went to the park."",

Spelling - Incorrect spelling of words, affecting comprehension: Incorrect: ""She recieved a letter."" Correct: ""She received a letter."",

Verb - Incorrect verb tense, agreement, or form (including gerunds/infinitives). Incorrect: ""I look forward to meet you."" Correct: ""I look forward to meeting you."",

Word choice - Using an incorrect or suboptimal word that does not fit the context. Incorrect: ""He is a criminal who has alluded capture."" Correct: ""He is a criminal who has eluded capture."",

Word order - Incorrect word order, making sentences sound unnatural or confusing: Incorrect: ""She always is late."" Correct: ""She is always late.""",,,,,,,
26,English,Primary 6, ,, , , ,"Adjective - Incorrect or inappropriate use of adjectives, such as using the wrong form (comparative, superlative): Incorrect: ""She is more prettier than her sister."" Correct: ""She is prettier than her sister."",

Adverb - Incorrect use of adverbs, such as using an adjective instead of an adverb: Incorrect: ""He runs quick."" Correct: ""He runs quickly."",

Capitalisation/ case - Incorrect use of uppercase and lowercase letters, especially for proper nouns and sentence beginnings: Incorrect: ""i went to paris last summer."" Correct: ""I went to Paris last summer."",

Collocation - Incorrect pairing of words that do not naturally go together in English: Incorrect: ""She made a big effort."" Correct: ""She made a great effort."",

Conjunction - Incorrect use or omission of conjunctions to link sentences or clauses. Incorrect: ""Although it was cold outside, but I still went for a walk."" Correct: ""Although it was cold outside, I still went for a walk."",

Contraction - Incorrect use or omission of contractions, leading to confusion: Incorrect: ""Its raining today."" Correct: ""It’s raining today."",

Determiner - Incorrect use or omission of determiners, such as articles, quantifiers and possessive determiners (e.g., a, an, the, much, many, my, your). Incorrect: ""I love the nature."" Correct: ""I love nature."",

Noun - Incorrect noun forms, including pluralisation or uncountable nouns: Incorrect: ""I have many homeworks."" Correct: ""I have a lot of homework."",

Other - Miscellaneous errors that don’t fit other categories: Incorrect: ""I enjoy to the fullest life."" Correct: ""I enjoy life to the fullest."",

Particle - Incorrect use of particles, especially in phrasal verbs. Incorrect: ""Please fill the form before leaving."" Correct: ""Please fill out the form before leaving."",

Possessive - Incorrect use of possessive forms (’s or s’). Incorrect: ""The dog wagged it's tail."" Correct: ""The dog wagged its tail."",

Preposition - Incorrect or missing prepositions, leading to grammatical errors: Incorrect: ""She is good in math."" Correct: ""She is good at math."",

Pronoun - Incorrect pronoun usage, including unclear references or agreement issues. Incorrect: ""Each student must bring their book."" Correct: ""Each student must bring his or her book."",

Punctuation - Incorrect or missing punctuation marks that change the meaning. Incorrect: ""Let’s eat Grandma."" Correct: ""Let’s eat, Grandma."",

Sentence - Errors related to sentence structure, such as fragments or run-ons: Incorrect: ""When I arrived. I saw him."" Correct: ""When I arrived, I saw him."",

Space - Missing or extra spaces between words or punctuation: Incorrect: ""I went tothe park."" Correct: ""I went to the park."",

Spelling - Incorrect spelling of words, affecting comprehension: Incorrect: ""She recieved a letter."" Correct: ""She received a letter."",

Verb - Incorrect verb tense, agreement, or form (including gerunds/infinitives). Incorrect: ""I look forward to meet you."" Correct: ""I look forward to meeting you."",

Word choice - Using an incorrect or suboptimal word that does not fit the context. Incorrect: ""He is a criminal who has alluded capture."" Correct: ""He is a criminal who has eluded capture."",

Word order - Incorrect word order, making sentences sound unnatural or confusing: Incorrect: ""She always is late."" Correct: ""She is always late.""",,,,,,,
27,English,Primary 6, ,, , , ,"Adjective - Incorrect or inappropriate use of adjectives, such as using the wrong form (comparative, superlative): Incorrect: ""She is more prettier than her sister."" Correct: ""She is prettier than her sister."",

Adverb - Incorrect use of adverbs, such as using an adjective instead of an adverb: Incorrect: ""He runs quick."" Correct: ""He runs quickly."",

Capitalisation/ case - Incorrect use of uppercase and lowercase letters, especially for proper nouns and sentence beginnings: Incorrect: ""i went to paris last summer."" Correct: ""I went to Paris last summer."",

Collocation - Incorrect pairing of words that do not naturally go together in English: Incorrect: ""She made a big effort."" Correct: ""She made a great effort."",

Conjunction - Incorrect use or omission of conjunctions to link sentences or clauses. Incorrect: ""Although it was cold outside, but I still went for a walk."" Correct: ""Although it was cold outside, I still went for a walk."",

Contraction - Incorrect use or omission of contractions, leading to confusion: Incorrect: ""Its raining today."" Correct: ""It’s raining today."",

Determiner - Incorrect use or omission of determiners, such as articles, quantifiers and possessive determiners (e.g., a, an, the, much, many, my, your). Incorrect: ""I love the nature."" Correct: ""I love nature."",

Noun - Incorrect noun forms, including pluralisation or uncountable nouns: Incorrect: ""I have many homeworks."" Correct: ""I have a lot of homework."",

Other - Miscellaneous errors that don’t fit other categories: Incorrect: ""I enjoy to the fullest life."" Correct: ""I enjoy life to the fullest."",

Particle - Incorrect use of particles, especially in phrasal verbs. Incorrect: ""Please fill the form before leaving."" Correct: ""Please fill out the form before leaving."",

Possessive - Incorrect use of possessive forms (’s or s’). Incorrect: ""The dog wagged it's tail."" Correct: ""The dog wagged its tail."",

Preposition - Incorrect or missing prepositions, leading to grammatical errors: Incorrect: ""She is good in math."" Correct: ""She is good at math."",

Pronoun - Incorrect pronoun usage, including unclear references or agreement issues. Incorrect: ""Each student must bring their book."" Correct: ""Each student must bring his or her book."",

Punctuation - Incorrect or missing punctuation marks that change the meaning. Incorrect: ""Let’s eat Grandma."" Correct: ""Let’s eat, Grandma."",

Sentence - Errors related to sentence structure, such as fragments or run-ons: Incorrect: ""When I arrived. I saw him."" Correct: ""When I arrived, I saw him."",

Space - Missing or extra spaces between words or punctuation: Incorrect: ""I went tothe park."" Correct: ""I went to the park."",

Spelling - Incorrect spelling of words, affecting comprehension: Incorrect: ""She recieved a letter."" Correct: ""She received a letter."",

Verb - Incorrect verb tense, agreement, or form (including gerunds/infinitives). Incorrect: ""I look forward to meet you."" Correct: ""I look forward to meeting you."",

Word choice - Using an incorrect or suboptimal word that does not fit the context. Incorrect: ""He is a criminal who has alluded capture."" Correct: ""He is a criminal who has eluded capture."",

Word order - Incorrect word order, making sentences sound unnatural or confusing: Incorrect: ""She always is late."" Correct: ""She is always late.""",,,,,,,
28,English,Primary 6, ,, , , ,"Adjective - Incorrect or inappropriate use of adjectives, such as using the wrong form (comparative, superlative): Incorrect: ""She is more prettier than her sister."" Correct: ""She is prettier than her sister."",

Adverb - Incorrect use of adverbs, such as using an adjective instead of an adverb: Incorrect: ""He runs quick."" Correct: ""He runs quickly."",

Capitalisation/ case - Incorrect use of uppercase and lowercase letters, especially for proper nouns and sentence beginnings: Incorrect: ""i went to paris last summer."" Correct: ""I went to Paris last summer."",

Collocation - Incorrect pairing of words that do not naturally go together in English: Incorrect: ""She made a big effort."" Correct: ""She made a great effort."",

Conjunction - Incorrect use or omission of conjunctions to link sentences or clauses. Incorrect: ""Although it was cold outside, but I still went for a walk."" Correct: ""Although it was cold outside, I still went for a walk."",

Contraction - Incorrect use or omission of contractions, leading to confusion: Incorrect: ""Its raining today."" Correct: ""It’s raining today."",

Determiner - Incorrect use or omission of determiners, such as articles, quantifiers and possessive determiners (e.g., a, an, the, much, many, my, your). Incorrect: ""I love the nature."" Correct: ""I love nature."",

Noun - Incorrect noun forms, including pluralisation or uncountable nouns: Incorrect: ""I have many homeworks."" Correct: ""I have a lot of homework."",

Other - Miscellaneous errors that don’t fit other categories: Incorrect: ""I enjoy to the fullest life."" Correct: ""I enjoy life to the fullest."",

Particle - Incorrect use of particles, especially in phrasal verbs. Incorrect: ""Please fill the form before leaving."" Correct: ""Please fill out the form before leaving."",

Possessive - Incorrect use of possessive forms (’s or s’). Incorrect: ""The dog wagged it's tail."" Correct: ""The dog wagged its tail."",

Preposition - Incorrect or missing prepositions, leading to grammatical errors: Incorrect: ""She is good in math."" Correct: ""She is good at math."",

Pronoun - Incorrect pronoun usage, including unclear references or agreement issues. Incorrect: ""Each student must bring their book."" Correct: ""Each student must bring his or her book."",

Punctuation - Incorrect or missing punctuation marks that change the meaning. Incorrect: ""Let’s eat Grandma."" Correct: ""Let’s eat, Grandma."",

Sentence - Errors related to sentence structure, such as fragments or run-ons: Incorrect: ""When I arrived. I saw him."" Correct: ""When I arrived, I saw him."",

Space - Missing or extra spaces between words or punctuation: Incorrect: ""I went tothe park."" Correct: ""I went to the park."",

Spelling - Incorrect spelling of words, affecting comprehension: Incorrect: ""She recieved a letter."" Correct: ""She received a letter."",

Verb - Incorrect verb tense, agreement, or form (including gerunds/infinitives). Incorrect: ""I look forward to meet you."" Correct: ""I look forward to meeting you."",

Word choice - Using an incorrect or suboptimal word that does not fit the context. Incorrect: ""He is a criminal who has alluded capture."" Correct: ""He is a criminal who has eluded capture."",

Word order - Incorrect word order, making sentences sound unnatural or confusing: Incorrect: ""She always is late."" Correct: ""She is always late.""",,,,,,,
29,English,Primary 6, ,, , , ,"Adjective - Incorrect or inappropriate use of adjectives, such as using the wrong form (comparative, superlative): Incorrect: ""She is more prettier than her sister."" Correct: ""She is prettier than her sister."",

Adverb - Incorrect use of adverbs, such as using an adjective instead of an adverb: Incorrect: ""He runs quick."" Correct: ""He runs quickly."",

Capitalisation/ case - Incorrect use of uppercase and lowercase letters, especially for proper nouns and sentence beginnings: Incorrect: ""i went to paris last summer."" Correct: ""I went to Paris last summer."",

Collocation - Incorrect pairing of words that do not naturally go together in English: Incorrect: ""She made a big effort."" Correct: ""She made a great effort."",

Conjunction - Incorrect use or omission of conjunctions to link sentences or clauses. Incorrect: ""Although it was cold outside, but I still went for a walk."" Correct: ""Although it was cold outside, I still went for a walk."",

Contraction - Incorrect use or omission of contractions, leading to confusion: Incorrect: ""Its raining today."" Correct: ""It’s raining today."",

Determiner - Incorrect use or omission of determiners, such as articles, quantifiers and possessive determiners (e.g., a, an, the, much, many, my, your). Incorrect: ""I love the nature."" Correct: ""I love nature."",

Noun - Incorrect noun forms, including pluralisation or uncountable nouns: Incorrect: ""I have many homeworks."" Correct: ""I have a lot of homework."",

Other - Miscellaneous errors that don’t fit other categories: Incorrect: ""I enjoy to the fullest life."" Correct: ""I enjoy life to the fullest."",

Particle - Incorrect use of particles, especially in phrasal verbs. Incorrect: ""Please fill the form before leaving."" Correct: ""Please fill out the form before leaving."",

Possessive - Incorrect use of possessive forms (’s or s’). Incorrect: ""The dog wagged it's tail."" Correct: ""The dog wagged its tail."",

Preposition - Incorrect or missing prepositions, leading to grammatical errors: Incorrect: ""She is good in math."" Correct: ""She is good at math."",

Pronoun - Incorrect pronoun usage, including unclear references or agreement issues. Incorrect: ""Each student must bring their book."" Correct: ""Each student must bring his or her book."",

Punctuation - Incorrect or missing punctuation marks that change the meaning. Incorrect: ""Let’s eat Grandma."" Correct: ""Let’s eat, Grandma."",

Sentence - Errors related to sentence structure, such as fragments or run-ons: Incorrect: ""When I arrived. I saw him."" Correct: ""When I arrived, I saw him."",

Space - Missing or extra spaces between words or punctuation: Incorrect: ""I went tothe park."" Correct: ""I went to the park."",

Spelling - Incorrect spelling of words, affecting comprehension: Incorrect: ""She recieved a letter."" Correct: ""She received a letter."",

Verb - Incorrect verb tense, agreement, or form (including gerunds/infinitives). Incorrect: ""I look forward to meet you."" Correct: ""I look forward to meeting you."",

Word choice - Using an incorrect or suboptimal word that does not fit the context. Incorrect: ""He is a criminal who has alluded capture."" Correct: ""He is a criminal who has eluded capture."",

Word order - Incorrect word order, making sentences sound unnatural or confusing: Incorrect: ""She always is late."" Correct: ""She is always late.""",,,,,,,
30,English,Primary 6, ,, , , ,"Adjective - Incorrect or inappropriate use of adjectives, such as using the wrong form (comparative, superlative): Incorrect: ""She is more prettier than her sister."" Correct: ""She is prettier than her sister."",

Adverb - Incorrect use of adverbs, such as using an adjective instead of an adverb: Incorrect: ""He runs quick."" Correct: ""He runs quickly."",

Capitalisation/ case - Incorrect use of uppercase and lowercase letters, especially for proper nouns and sentence beginnings: Incorrect: ""i went to paris last summer."" Correct: ""I went to Paris last summer."",

Collocation - Incorrect pairing of words that do not naturally go together in English: Incorrect: ""She made a big effort."" Correct: ""She made a great effort."",

Conjunction - Incorrect use or omission of conjunctions to link sentences or clauses. Incorrect: ""Although it was cold outside, but I still went for a walk."" Correct: ""Although it was cold outside, I still went for a walk."",

Contraction - Incorrect use or omission of contractions, leading to confusion: Incorrect: ""Its raining today."" Correct: ""It’s raining today."",

Determiner - Incorrect use or omission of determiners, such as articles, quantifiers and possessive determiners (e.g., a, an, the, much, many, my, your). Incorrect: ""I love the nature."" Correct: ""I love nature."",

Noun - Incorrect noun forms, including pluralisation or uncountable nouns: Incorrect: ""I have many homeworks."" Correct: ""I have a lot of homework."",

Other - Miscellaneous errors that don’t fit other categories: Incorrect: ""I enjoy to the fullest life."" Correct: ""I enjoy life to the fullest."",

Particle - Incorrect use of particles, especially in phrasal verbs. Incorrect: ""Please fill the form before leaving."" Correct: ""Please fill out the form before leaving."",

Possessive - Incorrect use of possessive forms (’s or s’). Incorrect: ""The dog wagged it's tail."" Correct: ""The dog wagged its tail."",

Preposition - Incorrect or missing prepositions, leading to grammatical errors: Incorrect: ""She is good in math."" Correct: ""She is good at math."",

Pronoun - Incorrect pronoun usage, including unclear references or agreement issues. Incorrect: ""Each student must bring their book."" Correct: ""Each student must bring his or her book."",

Punctuation - Incorrect or missing punctuation marks that change the meaning. Incorrect: ""Let’s eat Grandma."" Correct: ""Let’s eat, Grandma."",

Sentence - Errors related to sentence structure, such as fragments or run-ons: Incorrect: ""When I arrived. I saw him."" Correct: ""When I arrived, I saw him."",

Space - Missing or extra spaces between words or punctuation: Incorrect: ""I went tothe park."" Correct: ""I went to the park."",

Spelling - Incorrect spelling of words, affecting comprehension: Incorrect: ""She recieved a letter."" Correct: ""She received a letter."",

Verb - Incorrect verb tense, agreement, or form (including gerunds/infinitives). Incorrect: ""I look forward to meet you."" Correct: ""I look forward to meeting you."",

Word choice - Using an incorrect or suboptimal word that does not fit the context. Incorrect: ""He is a criminal who has alluded capture."" Correct: ""He is a criminal who has eluded capture."",

Word order - Incorrect word order, making sentences sound unnatural or confusing: Incorrect: ""She always is late."" Correct: ""She is always late.""",,,,,,,
31,English,Primary 6, ,, , , ,"Adjective - Incorrect or inappropriate use of adjectives, such as using the wrong form (comparative, superlative): Incorrect: ""She is more prettier than her sister."" Correct: ""She is prettier than her sister."",

Adverb - Incorrect use of adverbs, such as using an adjective instead of an adverb: Incorrect: ""He runs quick."" Correct: ""He runs quickly."",

Capitalisation/ case - Incorrect use of uppercase and lowercase letters, especially for proper nouns and sentence beginnings: Incorrect: ""i went to paris last summer."" Correct: ""I went to Paris last summer."",

Collocation - Incorrect pairing of words that do not naturally go together in English: Incorrect: ""She made a big effort."" Correct: ""She made a great effort."",

Conjunction - Incorrect use or omission of conjunctions to link sentences or clauses. Incorrect: ""Although it was cold outside, but I still went for a walk."" Correct: ""Although it was cold outside, I still went for a walk."",

Contraction - Incorrect use or omission of contractions, leading to confusion: Incorrect: ""Its raining today."" Correct: ""It’s raining today."",

Determiner - Incorrect use or omission of determiners, such as articles, quantifiers and possessive determiners (e.g., a, an, the, much, many, my, your). Incorrect: ""I love the nature."" Correct: ""I love nature."",

Noun - Incorrect noun forms, including pluralisation or uncountable nouns: Incorrect: ""I have many homeworks."" Correct: ""I have a lot of homework."",

Other - Miscellaneous errors that don’t fit other categories: Incorrect: ""I enjoy to the fullest life."" Correct: ""I enjoy life to the fullest."",

Particle - Incorrect use of particles, especially in phrasal verbs. Incorrect: ""Please fill the form before leaving."" Correct: ""Please fill out the form before leaving."",

Possessive - Incorrect use of possessive forms (’s or s’). Incorrect: ""The dog wagged it's tail."" Correct: ""The dog wagged its tail."",

Preposition - Incorrect or missing prepositions, leading to grammatical errors: Incorrect: ""She is good in math."" Correct: ""She is good at math."",

Pronoun - Incorrect pronoun usage, including unclear references or agreement issues. Incorrect: ""Each student must bring their book."" Correct: ""Each student must bring his or her book."",

Punctuation - Incorrect or missing punctuation marks that change the meaning. Incorrect: ""Let’s eat Grandma."" Correct: ""Let’s eat, Grandma."",

Sentence - Errors related to sentence structure, such as fragments or run-ons: Incorrect: ""When I arrived. I saw him."" Correct: ""When I arrived, I saw him."",

Space - Missing or extra spaces between words or punctuation: Incorrect: ""I went tothe park."" Correct: ""I went to the park."",

Spelling - Incorrect spelling of words, affecting comprehension: Incorrect: ""She recieved a letter."" Correct: ""She received a letter."",

Verb - Incorrect verb tense, agreement, or form (including gerunds/infinitives). Incorrect: ""I look forward to meet you."" Correct: ""I look forward to meeting you."",

Word choice - Using an incorrect or suboptimal word that does not fit the context. Incorrect: ""He is a criminal who has alluded capture."" Correct: ""He is a criminal who has eluded capture."",

Word order - Incorrect word order, making sentences sound unnatural or confusing: Incorrect: ""She always is late."" Correct: ""She is always late.""",,,,,,,
32,English,Primary 6, ,, , , ,"Adjective - Incorrect or inappropriate use of adjectives, such as using the wrong form (comparative, superlative): Incorrect: ""She is more prettier than her sister."" Correct: ""She is prettier than her sister."",

Adverb - Incorrect use of adverbs, such as using an adjective instead of an adverb: Incorrect: ""He runs quick."" Correct: ""He runs quickly."",

Capitalisation/ case - Incorrect use of uppercase and lowercase letters, especially for proper nouns and sentence beginnings: Incorrect: ""i went to paris last summer."" Correct: ""I went to Paris last summer."",

Collocation - Incorrect pairing of words that do not naturally go together in English: Incorrect: ""She made a big effort."" Correct: ""She made a great effort."",

Conjunction - Incorrect use or omission of conjunctions to link sentences or clauses. Incorrect: ""Although it was cold outside, but I still went for a walk."" Correct: ""Although it was cold outside, I still went for a walk."",

Contraction - Incorrect use or omission of contractions, leading to confusion: Incorrect: ""Its raining today."" Correct: ""It’s raining today."",

Determiner - Incorrect use or omission of determiners, such as articles, quantifiers and possessive determiners (e.g., a, an, the, much, many, my, your). Incorrect: ""I love the nature."" Correct: ""I love nature."",

Noun - Incorrect noun forms, including pluralisation or uncountable nouns: Incorrect: ""I have many homeworks."" Correct: ""I have a lot of homework."",

Other - Miscellaneous errors that don’t fit other categories: Incorrect: ""I enjoy to the fullest life."" Correct: ""I enjoy life to the fullest."",

Particle - Incorrect use of particles, especially in phrasal verbs. Incorrect: ""Please fill the form before leaving."" Correct: ""Please fill out the form before leaving."",

Possessive - Incorrect use of possessive forms (’s or s’). Incorrect: ""The dog wagged it's tail."" Correct: ""The dog wagged its tail."",

Preposition - Incorrect or missing prepositions, leading to grammatical errors: Incorrect: ""She is good in math."" Correct: ""She is good at math."",

Pronoun - Incorrect pronoun usage, including unclear references or agreement issues. Incorrect: ""Each student must bring their book."" Correct: ""Each student must bring his or her book."",

Punctuation - Incorrect or missing punctuation marks that change the meaning. Incorrect: ""Let’s eat Grandma."" Correct: ""Let’s eat, Grandma."",

Sentence - Errors related to sentence structure, such as fragments or run-ons: Incorrect: ""When I arrived. I saw him."" Correct: ""When I arrived, I saw him."",

Space - Missing or extra spaces between words or punctuation: Incorrect: ""I went tothe park."" Correct: ""I went to the park."",

Spelling - Incorrect spelling of words, affecting comprehension: Incorrect: ""She recieved a letter."" Correct: ""She received a letter."",

Verb - Incorrect verb tense, agreement, or form (including gerunds/infinitives). Incorrect: ""I look forward to meet you."" Correct: ""I look forward to meeting you."",

Word choice - Using an incorrect or suboptimal word that does not fit the context. Incorrect: ""He is a criminal who has alluded capture."" Correct: ""He is a criminal who has eluded capture."",

Word order - Incorrect word order, making sentences sound unnatural or confusing: Incorrect: ""She always is late."" Correct: ""She is always late.""",,,,,,,
33,English,Primary 6, ,, , , ,"Adjective - Incorrect or inappropriate use of adjectives, such as using the wrong form (comparative, superlative): Incorrect: ""She is more prettier than her sister."" Correct: ""She is prettier than her sister."",

Adverb - Incorrect use of adverbs, such as using an adjective instead of an adverb: Incorrect: ""He runs quick."" Correct: ""He runs quickly."",

Capitalisation/ case - Incorrect use of uppercase and lowercase letters, especially for proper nouns and sentence beginnings: Incorrect: ""i went to paris last summer."" Correct: ""I went to Paris last summer."",

Collocation - Incorrect pairing of words that do not naturally go together in English: Incorrect: ""She made a big effort."" Correct: ""She made a great effort."",

Conjunction - Incorrect use or omission of conjunctions to link sentences or clauses. Incorrect: ""Although it was cold outside, but I still went for a walk."" Correct: ""Although it was cold outside, I still went for a walk."",

Contraction - Incorrect use or omission of contractions, leading to confusion: Incorrect: ""Its raining today."" Correct: ""It’s raining today."",

Determiner - Incorrect use or omission of determiners, such as articles, quantifiers and possessive determiners (e.g., a, an, the, much, many, my, your). Incorrect: ""I love the nature."" Correct: ""I love nature."",

Noun - Incorrect noun forms, including pluralisation or uncountable nouns: Incorrect: ""I have many homeworks."" Correct: ""I have a lot of homework."",

Other - Miscellaneous errors that don’t fit other categories: Incorrect: ""I enjoy to the fullest life."" Correct: ""I enjoy life to the fullest."",

Particle - Incorrect use of particles, especially in phrasal verbs. Incorrect: ""Please fill the form before leaving."" Correct: ""Please fill out the form before leaving."",

Possessive - Incorrect use of possessive forms (’s or s’). Incorrect: ""The dog wagged it's tail."" Correct: ""The dog wagged its tail."",

Preposition - Incorrect or missing prepositions, leading to grammatical errors: Incorrect: ""She is good in math."" Correct: ""She is good at math."",

Pronoun - Incorrect pronoun usage, including unclear references or agreement issues. Incorrect: ""Each student must bring their book."" Correct: ""Each student must bring his or her book."",

Punctuation - Incorrect or missing punctuation marks that change the meaning. Incorrect: ""Let’s eat Grandma."" Correct: ""Let’s eat, Grandma."",

Sentence - Errors related to sentence structure, such as fragments or run-ons: Incorrect: ""When I arrived. I saw him."" Correct: ""When I arrived, I saw him."",

Space - Missing or extra spaces between words or punctuation: Incorrect: ""I went tothe park."" Correct: ""I went to the park."",

Spelling - Incorrect spelling of words, affecting comprehension: Incorrect: ""She recieved a letter."" Correct: ""She received a letter."",

Verb - Incorrect verb tense, agreement, or form (including gerunds/infinitives). Incorrect: ""I look forward to meet you."" Correct: ""I look forward to meeting you."",

Word choice - Using an incorrect or suboptimal word that does not fit the context. Incorrect: ""He is a criminal who has alluded capture."" Correct: ""He is a criminal who has eluded capture."",

Word order - Incorrect word order, making sentences sound unnatural or confusing: Incorrect: ""She always is late."" Correct: ""She is always late.""",,,,,,,
34,English,Primary 6, ,, , , ,"Adjective - Incorrect or inappropriate use of adjectives, such as using the wrong form (comparative, superlative): Incorrect: ""She is more prettier than her sister."" Correct: ""She is prettier than her sister."",

Adverb - Incorrect use of adverbs, such as using an adjective instead of an adverb: Incorrect: ""He runs quick."" Correct: ""He runs quickly."",

Capitalisation/ case - Incorrect use of uppercase and lowercase letters, especially for proper nouns and sentence beginnings: Incorrect: ""i went to paris last summer."" Correct: ""I went to Paris last summer."",

Collocation - Incorrect pairing of words that do not naturally go together in English: Incorrect: ""She made a big effort."" Correct: ""She made a great effort."",

Conjunction - Incorrect use or omission of conjunctions to link sentences or clauses. Incorrect: ""Although it was cold outside, but I still went for a walk."" Correct: ""Although it was cold outside, I still went for a walk."",

Contraction - Incorrect use or omission of contractions, leading to confusion: Incorrect: ""Its raining today."" Correct: ""It’s raining today."",

Determiner - Incorrect use or omission of determiners, such as articles, quantifiers and possessive determiners (e.g., a, an, the, much, many, my, your). Incorrect: ""I love the nature."" Correct: ""I love nature."",

Noun - Incorrect noun forms, including pluralisation or uncountable nouns: Incorrect: ""I have many homeworks."" Correct: ""I have a lot of homework."",

Other - Miscellaneous errors that don’t fit other categories: Incorrect: ""I enjoy to the fullest life."" Correct: ""I enjoy life to the fullest."",

Particle - Incorrect use of particles, especially in phrasal verbs. Incorrect: ""Please fill the form before leaving."" Correct: ""Please fill out the form before leaving."",

Possessive - Incorrect use of possessive forms (’s or s’). Incorrect: ""The dog wagged it's tail."" Correct: ""The dog wagged its tail."",

Preposition - Incorrect or missing prepositions, leading to grammatical errors: Incorrect: ""She is good in math."" Correct: ""She is good at math."",

Pronoun - Incorrect pronoun usage, including unclear references or agreement issues. Incorrect: ""Each student must bring their book."" Correct: ""Each student must bring his or her book."",

Punctuation - Incorrect or missing punctuation marks that change the meaning. Incorrect: ""Let’s eat Grandma."" Correct: ""Let’s eat, Grandma."",

Sentence - Errors related to sentence structure, such as fragments or run-ons: Incorrect: ""When I arrived. I saw him."" Correct: ""When I arrived, I saw him."",

Space - Missing or extra spaces between words or punctuation: Incorrect: ""I went tothe park."" Correct: ""I went to the park."",

Spelling - Incorrect spelling of words, affecting comprehension: Incorrect: ""She recieved a letter."" Correct: ""She received a letter."",

Verb - Incorrect verb tense, agreement, or form (including gerunds/infinitives). Incorrect: ""I look forward to meet you."" Correct: ""I look forward to meeting you."",

Word choice - Using an incorrect or suboptimal word that does not fit the context. Incorrect: ""He is a criminal who has alluded capture."" Correct: ""He is a criminal who has eluded capture."",

Word order - Incorrect word order, making sentences sound unnatural or confusing: Incorrect: ""She always is late."" Correct: ""She is always late.""",,,,,,,
